Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
01-01-2021 00:00,567.06,687.79,129.86,41.79,173.66,105.35,4.57,4.37,5.77,4.05,23.48,NA,NA,NA,NA,9.08,83.64,0.94,139.78,0,0,42.6,993.58,NA
02-01-2021 00:00,435.42,579.28,42.93,50.71,93.71,112.7,7.25,2.69,7.2,3.34,14.59,NA,NA,NA,NA,13.43,71.28,1.13,114.29,0.01,0.5,24.84,992.24,NA
03-01-2021 00:00,158.57,226.31,22.69,27.49,50.23,98.95,5.14,1.36,3.77,1.75,8.1,NA,NA,NA,NA,14.67,78.35,1.91,94.97,0.04,4,24.08,990.51,NA
04-01-2021 00:00,101.96,149.71,22.5,22.45,44.33,88.65,4.28,1.27,9.22,1.59,10.25,NA,NA,NA,NA,16.71,81.38,1.71,185.83,0.08,8,42.84,992.15,NA
05-01-2021 00:00,70.75,101.33,8.72,19.93,28.25,69.63,3.48,1.02,5.27,1.45,8.47,NA,NA,NA,NA,16.98,80.3,1.72,111.77,0.07,6.5,32.15,991.62,NA
06-01-2021 00:00,159.96,234.04,20.77,24.44,45.2,89.43,4.54,1.38,9.29,1.78,8.55,NA,NA,NA,NA,16.96,82.52,1.03,219.11,0,0,31.24,991.14,NA
07-01-2021 00:00,119.67,189.08,8.79,15.5,24.09,79.33,2.38,0.96,9.83,1.28,9.42,NA,NA,NA,NA,15.76,80.58,1.8,297.15,0,0,44.49,990.9,NA
08-01-2021 00:00,127.91,217.76,8.21,17.07,25.19,67.85,5.25,1,6.48,1.43,7.97,NA,NA,NA,NA,13.38,81.48,1.12,275.15,0.01,1,39.23,990.6,NA
09-01-2021 00:00,128.62,217.5,5.13,15.94,20.99,91.97,7.14,0.94,7.16,1.13,4.12,NA,NA,NA,NA,15.16,78.47,1.81,291.64,0,0,68.2,991.25,NA
10-01-2021 00:00,113.12,181.46,2.5,12.76,15.13,96.05,2.66,0.88,14.31,1.46,3.93,NA,NA,NA,NA,11.38,75.14,1.97,288.39,0,0,111.42,992.07,NA
11-01-2021 00:00,114.48,195.67,3.28,16.45,19.83,93.25,2.9,0.89,17.54,1.4,6.78,NA,NA,NA,NA,11.52,76.18,2.04,281.8,0,0,110.31,992.24,NA
12-01-2021 00:00,175.91,274.39,29.05,20.73,49.83,100.64,2.98,1.56,12.92,1.58,7.09,NA,NA,NA,NA,10.55,81.64,1.12,279.24,0,0,86.92,992.47,NA
13-01-2021 00:00,220.88,385.46,81.12,28.4,103.75,101.54,3.06,2.1,15.93,1.97,10.05,NA,NA,NA,NA,10.63,79.25,0.9,207.49,0,0,93.74,991.74,NA
14-01-2021 00:00,386.15,591.04,89.72,41.26,130.98,123.03,3.9,2.72,15.66,3.22,19.41,NA,NA,NA,NA,10.04,82.83,1.03,219.17,0,0,77.52,991.85,NA
15-01-2021 00:00,497.04,686.55,97.45,53.27,140.83,130.91,7.5,3.87,18.12,3.69,29.13,NA,NA,NA,NA,12.48,81.44,0.87,231,0,0,55.43,990.28,NA
16-01-2021 00:00,185.99,281.48,7.77,21.85,28.9,101.23,2.32,1.75,9.78,2.48,12.46,NA,NA,NA,NA,10.61,85.31,1.06,277.44,0,0,79.83,989.19,NA
17-01-2021 00:00,212.87,318.12,5.28,26.54,31.72,92.06,3.89,1.58,15.34,2.14,7.41,NA,NA,NA,NA,11.09,80.29,2.19,120.33,0,0,89.41,991.51,NA
18-01-2021 00:00,244.43,417,61.59,35.46,96.98,94.42,4.84,2.54,12.85,2.54,13.43,NA,NA,NA,NA,12.08,78.7,1.58,99.19,0,0,65.06,993.05,NA
19-01-2021 00:00,233.02,363.2,61.72,20.54,82.22,89.38,4.34,1.99,9.09,2.08,20.49,NA,NA,NA,NA,NA,83.07,1.1,245.43,0,0.3,89.82,989.92,NA
20-01-2021 00:00,140.3,227.38,2.6,16.91,19.5,65.21,5.26,1.02,16.17,1.29,4.58,NA,NA,NA,NA,14.89,77.85,1.59,251.87,0,0,91.49,990.45,NA
21-01-2021 00:00,179.38,306.4,72.84,25.93,98.01,69.37,5.41,2.14,21.06,1.84,10.11,NA,NA,NA,NA,13.79,71.51,1.34,241.82,0,0,117.53,989.08,NA
22-01-2021 00:00,296,480,89.84,31.83,121.72,93.75,4.46,2.32,10.01,3.06,19.92,NA,NA,NA,NA,12.14,80.15,1.58,104.52,0,0,92.31,990.65,NA
23-01-2021 00:00,164.38,277.96,26.83,28.65,52.56,75.08,3.83,1.5,11,1.79,7.13,NA,NA,NA,NA,13.66,74.47,2,120.67,0,0,99,989.09,NA
24-01-2021 00:00,223.47,381.15,16.28,17.78,34.08,82.46,3.33,0.97,NA,1.92,8.95,NA,NA,NA,NA,12.03,84.44,1.41,285.37,0,0,27.8,991.92,NA
25-01-2021 00:00,161.92,306.29,62.87,15.74,71.19,55.59,4.09,1.31,19.62,1.67,11.89,NA,NA,NA,NA,11.97,78.08,1.46,275.22,0,0,81.44,993.99,NA
26-01-2021 00:00,185.58,351.04,33.7,20.7,52.21,65.11,7.52,0.98,20.66,2.15,8.33,NA,NA,NA,NA,12.85,72.3,1.04,254.17,0,0,107,993.38,NA
27-01-2021 00:00,195.5,383.96,81.5,27.91,96.87,64.19,8.3,1.48,19.75,1.8,8.78,NA,NA,NA,NA,13.28,67.38,1.14,258.75,0,0,119.19,993.01,NA
28-01-2021 00:00,278.54,496.67,96.85,32.93,129.77,79.33,10.54,2,16.96,2.12,16.83,NA,NA,NA,NA,12.33,74.11,0.97,241.68,0,0,94.15,993.87,NA
29-01-2021 00:00,227.62,388.58,30.29,25.24,55.16,76.13,8.94,1.17,15.46,2.25,12.87,NA,NA,NA,NA,12.68,71.4,1.49,284.92,0,0,109.6,994.19,NA
