datetime,station,year,month,day,dayofweek,pm2.5,pm10,no,no2,nox,nh3,so2,co,ozone
2019-04-01,Chandini_Chowk,2019,4,1,0,,,,,,,,,
2019-04-02,Chandini_Chowk,2019,4,2,1,,,,,,,,,
2019-04-03,Chandini_Chowk,2019,4,3,2,,,,,,,,,
2019-04-04,Chandini_Chowk,2019,4,4,3,,,,,,,,,
2019-04-05,Chandini_Chowk,2019,4,5,4,,,,,,,,,
2019-04-06,Chandini_Chowk,2019,4,6,5,,,,,,,,,
2019-04-07,Chandini_Chowk,2019,4,7,6,,,,,,,,,
2019-04-08,Chandini_Chowk,2019,4,8,0,,,,,,,,,
2019-04-09,Chandini_Chowk,2019,4,9,1,,,,,,,,,
2019-04-10,Chandini_Chowk,2019,4,10,2,,,,,,,,,
2019-04-11,Chandini_Chowk,2019,4,11,3,,,,,,,,,
2019-04-12,Chandini_Chowk,2019,4,12,4,,,,,,,,,
2019-04-13,Chandini_Chowk,2019,4,13,5,,,,,,,,,
2019-04-14,Chandini_Chowk,2019,4,14,6,,,,,,,,,
2019-04-15,Chandini_Chowk,2019,4,15,0,,,,,,,,,
2019-04-16,Chandini_Chowk,2019,4,16,1,,,,,,,,,
2019-04-17,Chandini_Chowk,2019,4,17,2,,,,,,,,,
2019-04-18,Chandini_Chowk,2019,4,18,3,,,,,,,,,
2019-04-19,Chandini_Chowk,2019,4,19,4,,,,,,,,,
2019-04-20,Chandini_Chowk,2019,4,20,5,,,,,,,,,
2019-04-21,Chandini_Chowk,2019,4,21,6,,,,,,,,,
2019-04-22,Chandini_Chowk,2019,4,22,0,,,,,,,,,
2019-04-23,Chandini_Chowk,2019,4,23,1,,,,,,,,,
2019-04-24,Chandini_Chowk,2019,4,24,2,,,,,,,,,
2019-04-25,Chandini_Chowk,2019,4,25,3,,,,,,,,,
2019-04-26,Chandini_Chowk,2019,4,26,4,,,,,,,,,
2019-04-27,Chandini_Chowk,2019,4,27,5,,,,,,,,,
2019-04-28,Chandini_Chowk,2019,4,28,6,,,,,,,,,
2019-04-29,Chandini_Chowk,2019,4,29,0,,,,,,,,,
2019-04-30,Chandini_Chowk,2019,4,30,1,,,,,,,,,
2019-05-01,Chandini_Chowk,2019,5,1,2,,,,,,,,,
2019-05-02,Chandini_Chowk,2019,5,2,3,,,,,,,,,
2019-05-03,Chandini_Chowk,2019,5,3,4,,,,,,,,,
2019-05-04,Chandini_Chowk,2019,5,4,5,,,,,,,,,
2019-05-05,Chandini_Chowk,2019,5,5,6,,,,,,,,,
2019-05-06,Chandini_Chowk,2019,5,6,0,,,,,,,,,
2019-05-07,Chandini_Chowk,2019,5,7,1,,,,,,,,,
2019-05-08,Chandini_Chowk,2019,5,8,2,,,,,,,,,
2019-05-09,Chandini_Chowk,2019,5,9,3,,,,,,,,,
2019-05-10,Chandini_Chowk,2019,5,10,4,,,,,,,,,
2019-05-11,Chandini_Chowk,2019,5,11,5,,,,,,,,,
2019-05-12,Chandini_Chowk,2019,5,12,6,,,,,,,,,
2019-05-13,Chandini_Chowk,2019,5,13,0,,,,,,,,,
2019-05-14,Chandini_Chowk,2019,5,14,1,,,,,,,,,
2019-05-15,Chandini_Chowk,2019,5,15,2,,,,,,,,,
2019-05-16,Chandini_Chowk,2019,5,16,3,,,,,,,,,
2019-05-17,Chandini_Chowk,2019,5,17,4,,,,,,,,,
2019-05-18,Chandini_Chowk,2019,5,18,5,,,,,,,,,
2019-05-19,Chandini_Chowk,2019,5,19,6,,,,,,,,,
2019-05-20,Chandini_Chowk,2019,5,20,0,,,,,,,,,
2019-05-21,Chandini_Chowk,2019,5,21,1,,,,,,,,,
2019-05-22,Chandini_Chowk,2019,5,22,2,,,,,,,,,
2019-05-23,Chandini_Chowk,2019,5,23,3,,,,,,,,,
2019-05-24,Chandini_Chowk,2019,5,24,4,,,,,,,,,
2019-05-25,Chandini_Chowk,2019,5,25,5,,,,,,,,,
2019-05-26,Chandini_Chowk,2019,5,26,6,,,,,,,,,
2019-05-27,Chandini_Chowk,2019,5,27,0,,,,,,,,,
2019-05-28,Chandini_Chowk,2019,5,28,1,,,,,,,,,
2019-05-29,Chandini_Chowk,2019,5,29,2,,,,,,,,,
2019-05-30,Chandini_Chowk,2019,5,30,3,,,,,,,,,
2019-05-31,Chandini_Chowk,2019,5,31,4,,,,,,,,,
2019-06-01,Chandini_Chowk,2019,6,1,5,,,,,,,,,
